[["zh_CN","start","start"],
["zh_CN","babeijing","八倍镜"],
["zh_CN","bashi","巴士"],
["zh_CN","banzidongxiandanqiang","半自动霰弹枪"],
["zh_CN","baodian","报点"],
["zh_CN","baotou","爆头"],
["zh_CN","beijing","倍镜"],
["zh_CN","bengbeng","蹦蹦"],
["zh_CN","bengdai","绷带"],
["zh_CN","bingxi","屏息"],
["zh_CN","buchangqi","补偿器"],
["zh_CN","bugei","补给"],
["zh_CN","bugeixiang","补给箱"],
["zh_CN","buqiang","步枪"],
["zh_CN","buqiangkuaisudanjia","步枪快速弹夹"],
["zh_CN","buqiangkuaisukuorongdanjia","步枪快速扩容弹夹"],
["zh_CN","buqiangkuorongdanjia","步枪扩容弹夹"],
["zh_CN","buqiangqiangkoubuchangqi","步枪枪口补偿器"],
["zh_CN","buqiangwuqi","步枪武器"],
["zh_CN","buqiangxiaoyanqi","步枪消焰器"],
["zh_CN","buqiangxiaoyinqi","步枪消音器"],
["zh_CN","canjiajisai","参加季赛"],
["zh_CN","changjingditu","场景地图"],
["zh_CN","changpengjipuche","敞篷吉普车"],
["zh_CN","chengzhangrenwu","成长任务"],
["zh_CN","chongfengqiang","冲锋枪"],
["zh_CN","chongfengqiangkuaisudanjia","冲锋枪快速弹夹"],
["zh_CN","chongfengqiangkuaisukuorongdanjia","冲锋枪快速扩容弹夹"],
["zh_CN","chongfengqiangkuorongdanjia","冲锋枪扩容弹夹"],
["zh_CN","chongfengqiangqiangkoubuchangqi","冲锋枪枪口补偿器"],
["zh_CN","chongfengqiangxiaoyanqi","冲锋枪消焰器"],
["zh_CN","chongfengqiangxiaoyinqi","冲锋枪消音器"],
["zh_CN","chuangjianjuntuan","创建军团"],
["zh_CN","chuizhiwoba","垂直握把"],
["zh_CN","cuihuierjitou","摧毁二级头"],
["zh_CN","dabache","大巴车"],
["zh_CN","daboluo","大菠萝"],
["zh_CN","dajidali","大吉大利"],
["zh_CN","dakandao","大砍刀"],
["zh_CN","dapanji","大盘鸡"],
["zh_CN","dayao","打药"],
["zh_CN","daibugongju","代步工具"],
["zh_CN","danfa","单发"],
["zh_CN","danxia","弹匣"],
["zh_CN","danyao","弹药"],
["zh_CN","daojuqianghua","道具强化"],
["zh_CN","diannao","电脑"],
["zh_CN","dingpeng","顶棚"],
["zh_CN","dongnanyafu","东南亚服"],
["zh_CN","duqiao","堵桥"],
["zh_CN","duquan","毒圈"],
["zh_CN","duanguanxiandanqiang","短管霰弹枪"],
["zh_CN","duizhanditu","对战地图"],
["zh_CN","eluositezhongbuduitoukui","俄罗斯特种部队头盔"],
["zh_CN","erbeijing","二倍镜"],
["zh_CN","erjibao","二级包"],
["zh_CN","erjifang","二级防"],
["zh_CN","erjijia","二级甲"],
["zh_CN","erjitou","二级头"],
["zh_CN","fangding","房顶"],
["zh_CN","fangqu","房区"],
["zh_CN","fengchidianche","风驰电掣"],
["zh_CN","fudimo","伏地魔"],
["zh_CN","gaihuanxingxiang","改换形象"],
