[["zh_CN","start","start"],
["zh_CN","xifangjindaixinlixueshi","西方近代心理学史"],
["zh_CN","xubao","虚报"],
["zh_CN","ganzifeierdeshiyan","甘兹菲尔德实验"],
["zh_CN","wangdaoyang","王道阳"],
["zh_CN","karuiergongshi","卡瑞尔公式"],
["zh_CN","guiyin","归因"],
["zh_CN","danshang","胆商"],
["zh_CN","xinlituomin","心理脱敏"],
["zh_CN","yibingxinghuaiyun","癔病性怀孕"],
["zh_CN","maikelande","麦克兰德"],
["zh_CN","xingnu","性奴"],
["zh_CN","teshunengli","特殊能力"],
["zh_CN","shangyeshouhuizui","商业受贿罪"],
["zh_CN","beitalangfei","贝塔朗菲"],
["zh_CN","shejiaoyuanli","社交原理"],
["zh_CN","yishizhuangtai","意识状态"],
["zh_CN","lunxisi","伦西斯"],
["zh_CN","weibiaoqing","微表情"],
["zh_CN","shehuiceliangxue","社会测量学"],
["zh_CN","shikan","时勘"],
["zh_CN","tuantiningjuli","团体凝聚力"],
["zh_CN","ziwodianfan","自我典范"],
["zh_CN","kelaiyin","克莱茵"],
["zh_CN","jingshenfenxixue","精神分析学"],
["zh_CN","zerenkuosanxiaoying","责任扩散效应"],
["zh_CN","zaixianxinliyisheng","在线心理医生"],
["zh_CN","duoyuanwuzhixiaoying","多元无知效应"],
["zh_CN","gandong","感动"],
["zh_CN","yingjizhangai","应激障碍"],
["zh_CN","songbenyitailang","松本亦太郎"],
["zh_CN","ganxingzhishi","感性知识"],
["zh_CN","xiangmufanyinglilun","项目反应理论"],
["zh_CN","yaoyinyilai","药瘾依赖"],
["zh_CN","ziwotongyixing","自我同一性"],
["zh_CN","jiaoxueshuiping","教学水平"],
["zh_CN","guishuxuyao","归属需要"],
["zh_CN","gonggongguanxixinlixianxiang","公共关系心理现象"],
["zh_CN","jiaochasheji","交叉设计"],
["zh_CN","gonggongguanxixinlixue","公共关系心理学"],
["zh_CN","zaokuangxingxingfen","躁狂性兴奋"],
["zh_CN","annasitaxi","安娜斯塔西"],
["zh_CN","mudixinghulue","目的性忽略"],
["zh_CN","shoushizheqiwangxiaoying","受试者期望效应"],
["zh_CN","baomulinde","鲍姆林德"],
["zh_CN","chuangzaoxinghuodong","创造性活动"],
["zh_CN","yixingyixiang","异性意向"],
["zh_CN","zhanwanglilun","展望理论"],
["zh_CN","dunwu","顿悟"],
["zh_CN","jiechen","戒嗔"],
["zh_CN","seyanzaishiren","色眼再识人"],
["zh_CN","jierbuleisi","吉尔布雷思"],
["zh_CN","shangweixuexi","上位学习"],
["zh_CN","shuangquchongtu","双趋冲突"],
["zh_CN","gongjiaochexiaoying","公交车效应"],
["zh_CN","qigexinliyuyan","七个心理寓言"],
["zh_CN","guaidianlilun","拐点理论"],
["zh_CN","bijixue","笔迹学"],
["zh_CN","jingtaizhili","晶态智力"],
["zh_CN","guodujingxia","过度惊吓"],
["zh_CN","rengejieti","人格解体"],
["zh_CN","fenpeilianxi","分配联系"],
["zh_CN","zhengshigoutongwangluo","正式沟通网络"],
["zh_CN","qulililun","驱力理论"],
["zh_CN","anshiliaofa","暗示疗法"],
["zh_CN","renge","人格"],
["zh_CN","xinggexinlixue","性格心理学"],
["zh_CN","kanaijilaixin","卡耐基来信"],
["zh_CN","lewen","勒温"],
["zh_CN","ganzhaoli","感召力"],
["zh_CN","duyijieke","杜伊杰克"],
["zh_CN","yejianyiyuan","夜间医院"],
["zh_CN","xiusidundaxue","休斯顿大学"],
["zh_CN","weibodinglv","韦伯定律"],
["zh_CN","yinyuezhiliao","音乐治疗"],
["zh_CN","yichangrenge","异常人格"],
["zh_CN","xingxingwei","型行为"],
["zh_CN","zhuguanxingfugan","主观幸福感"],
["zh_CN","fulaode","弗劳德"],
["zh_CN","zhuchangyoushixiaoying","主场优势效应"],
["zh_CN","gangbumitailang","冈部弥太郎"],
["zh_CN","sidegeermozhenghouqun","斯德哥尔摩症候群"],
["zh_CN","zizunpi","自尊癖"],
["zh_CN","sipierman","斯皮尔曼"],
["zh_CN","shenjingxinlixue","神经心理学"],
["zh_CN","shijuexuanyashiyan","视觉悬崖实验"],
["zh_CN","weinierxiedexinlixue","为你而写的心理学"],
["zh_CN","yuguangkongbuzheng","余光恐怖症"],
["zh_CN","guilifa","规例法"],
["zh_CN","liuchifeng","刘赤峰"],
["zh_CN","qitelianxiangjiyifa","奇特联想记忆法"],
["zh_CN","jiqunxingwei","集群行为"],
["zh_CN","xierde","希尔德"],
["zh_CN","jiangouxitong","建构系统"],
["zh_CN","fuyuanli","复原力"],
["zh_CN","dulixing","独立型"],
["zh_CN","zhurenxingrenge","助人型人格"],
["zh_CN","neiyinjiyi","内隐记忆"],
["zh_CN","binemu","宾厄姆"],
["zh_CN","xinnaogongcheng","心脑工程"],
["zh_CN","duoyizheng","多疑症"],
["zh_CN","fenleililun","分类理论"],
["zh_CN","getelibu","戈特利布"],
["zh_CN","jueseshitiao","角色失调"],
["zh_CN","xinfuluoyidezhuyi","新弗洛伊德主义"],
["zh_CN","dongzuojineng","动作技能"],
["zh_CN","cangshupi","藏书癖"],
["zh_CN","suanfashi","算法式"],
["zh_CN","yixingbiepi","易性别癖"],
["zh_CN","jingshenzhichiliaofa","精神支持疗法"],
["zh_CN","jiangouzhuyixuexililun","建构主义学习理论"],
["zh_CN","fuhaohudonglun","符号互动论"],
["zh_CN","wentiertong","问题儿童"],
["zh_CN","yuanzhangkui","袁章奎"],
["zh_CN","fuben","复本"],
["zh_CN","zuihoutongdiexiaoying","最后通牒效应"],
["zh_CN","ailinuo","埃莉诺"],
["zh_CN","guzhi","固执"],
["zh_CN","zhijuehengchangxing","知觉恒常性"],
["zh_CN","kouchunqi","口唇期"],
["zh_CN","xinlichengfa","心里惩罚"],
["zh_CN","fengchuankalun","冯川卡伦"],
["zh_CN","laibixixuepai","莱比锡学派"],
["zh_CN","xinlifenxiliaofa","心理分析疗法"],
["zh_CN","yinianyiwu","意念移物"],
["zh_CN","xinlianshishu","心理暗示术"],
["zh_CN","dingshililun","定势理论"],
["zh_CN","ziwofangyujizhi","自我防御机制"],
["zh_CN","renjigoutong","人际沟通"],
["zh_CN","lianshiqingjie","恋师情结"],
["zh_CN","kuifaxinlixue","匮乏心理学"],
["zh_CN","cuojuelilun","错觉理论"],
["zh_CN","zhengshixingpianjian","证实性偏见"],
["zh_CN","xiangyuzhouxiadingdan","向宇宙下订单"],
["zh_CN","xingge","性格"],
["zh_CN","xinlixueshi","心理学史"],
["zh_CN","siweichayi","思维差异"],
["zh_CN","liuailun","刘爱伦"],
["zh_CN","fancongzhong","反从众"],
["zh_CN","shuangrenwufanshi","双任务范式"],
["zh_CN","fuyouzhi","付有志"],
["zh_CN","qingshengjingjixue","情圣经济学"],
["zh_CN","suoluomenkongzhishiyan","所罗门控制实验"],
["zh_CN","canzhaoqunti","参照群体"],
["zh_CN","shehuirenzhilun","社会认知论"],
["zh_CN","huolinwosi","霍林沃思"],
["zh_CN","xiaoshaobei","肖少北"],
["zh_CN","buluosi","布罗斯"],
["zh_CN","heerman","赫尔曼"],
["zh_CN","xubaozhucezijinzui","虚报注册资金罪"],
["zh_CN","gainianxingcheng","概念形成"],
["zh_CN","xinandaxuexinlixueyuan","西南大学心理学院"],
["zh_CN","xingweishifang","行为释放"],
["zh_CN","cuozhechengshouli","挫折承受力"],
["zh_CN","donglixinlixue","动力心理学"],
["zh_CN","liantongpi","恋童癖"],
["zh_CN","shiwushuo","试误说"],
